City,Property_Type,title,Location,area,per_sqft,Price,price_in_INR,Status,Transaction,Furnishing,Possession_Date,Seller,Listing_Type,Property_Link
Thane,Flat,1 BHK,"Vador Ira Insignia, Dombivli East, Beyond Thane",514,9241,47.5 Lac,4750000,Ready to Move,New Property,Unfurnished,14 August 2025, VADOR GROUP,None,None
Thane,Flat,1 BHK,"Tulsidal Tulsidham, Dombivli East, Beyond Thane",457,15799,72.2 Lac,7220000,Ready to Move,New Property,Unfurnished,14 August 2025, Tulsidal Builders and Developers,None,None
Thane,Flat,3 BHK,"Larkins 315, Panch Pakhdi, Thane",941,20723,1.95 Cr,19500000,Ready to Move,New Property,Unfurnished,14 August 2025,None,None,None
Thane,Flat,3 BHK,"Ashar Merac, Thane West, Thane",927,20496,1.90 Cr,19000000,Ready to Move,New Property,Unfurnished,14 August 2025, Ashar Group,None,None
Thane,Flat,4 BHK,"Adani Codename LIT, Teen Hath Naka Area, Thane",1666,23830,3.97 Cr,39700000,Ready to Move,New Property,Unfurnished,14 August 2025,None,None,None
Thane,Flat,2 BHK,"SBM SKY, Thane West, Thane",620,19032,1.18 Cr,11800000,Ready to Move,New Property,Unfurnished,14 August 2025,None,None,None
Thane,Flat,2 BHK,"One Indiabulls Thane, Thane West, Thane",806,19851,1.60 Cr,16000000,Ready to Move,Resale,Furnished,14 August 2025, Hasnen Babrawalla,None,None
Thane,Flat,4 BHK,"Rustomjee Verdant Vistas, Majiwada, Thane",2204,23866,5.26 Cr,52600000,Ready to Move,New Property,Unfurnished,14 August 2025,None,None,None
Thane,Flat,3 BHK,"Trividh, Naupada, Thane",1185,29198,3.46 Cr,34600000,Ready to Move,New Property,Unfurnished,14 August 2025, Cosmos Skyline Greenview Pvt Ltd,None,None
Thane,Flat,3 BHK,"Hiranandani Rodas Enclave, Hiranandani Estate, Thane",1320,31818,4.20 Cr,42000000,Ready to Move,Resale,Furnished,14 August 2025,None,None,None
Thane,Flat,2 BHK,"Bhagwati Celeste, Dombivli, Beyond Thane",551,11506,63.4 Lac,6340000,Ready to Move,New Property,Unfurnished,14 August 2025, Bhagwati Builders And Developers,None,None
Thane,Flat,2 BHK,"Delanna, Hiranandani Estate, Thane",500,40000,2 Cr,20000000,Ready to Move,Resale,Furnished,14 August 2025,None,None,None
Thane,Flat,2 BHK,"Birla Vanya, Kalyan West, Beyond Thane",730,11000,80.3 Lac,8030000,Ready to Move,Resale,Furnished,14 August 2025,None,None,None
Thane,Flat,3 BHK,"IRIS at Kashish Park, Thane West, Thane",1251,21183,2.65 Cr,26500000,Ready to Move,New Property,Unfurnished,14 August 2025,None,None,None
Thane,Flat,2 BHK,"Lodha Casa Celeste, Kolshet Road, Thane",500,19600,98 Lac,9800000,Ready to Move,Resale,Furnished,14 August 2025, Shriti Nakashe,None,None
