city,city_avg,pct_diff
Thane,16480.3808,-66.26
Solapur,19762.7893,-59.54
Sangli,4591.3287,-90.60
Ratnagiri,17296.2679,-64.59
Pune,8493.0092,-82.61
Parbhani,3425.4211,-92.98
Nashik,9661.1321,-80.22
Nanded,23620.2667,-51.65
Nagpur,4774.1176,-90.22
Mumbai,48856.6347,0.00
Latur,5731.2769,-88.26
Kolhapur,9477.2200,-80.60
Bhiwandi,8410.4706,-82.78
Aurangabad,24405.9668,-50.04
Amravati,4273.9210,-91.25
Akola,5539.8384,-88.66
Ahmednagar,3904.1691,-92.00
Chandrapur,6500.3537,-86.69
Dhule,3314.0435,-93.21
Jalgaon,9338.0870,-80.88
