city,location,listings,avg_price_sqft,rank_position
Aurangabad,None,477,39386.15,1
Nagpur,"Jamtha, Nagpur",246,2469.40,2
Pune,"Kolte Patil Life Republic",125,8493.41,3
Nagpur,"Mohgaon, Nagpur",100,2094.81,4
Nagpur,"Wardha Road, Nagpur",84,1903.31,5
Mumbai,None,75,27936.40,6
Nagpur,"Shankarpur, Nagpur",72,3177.08,7
Nagpur,"Samruddhi Mahamarg, Nagpur",70,2079.59,8
Nagpur,"Mihan, Nagpur",68,2665.66,9
Pune,"Wagholi, Pune, Pune East",61,12937.00,10
Pune,"Chandkhed, Pune, Pune North",57,798.51,11
Pune,"Lohegaon, Pune, Pune East",56,4056.79,12
Nagpur,"Besa, Nagpur",56,4210.79,13
Mumbai,"Borivali West",56,28749.13,14
Nagpur,"Hingna, Nagpur",54,2049.67,15
Mumbai,"Mira Road East",54,20898.76,16
Nagpur,"Dongargaon, Nagpur",53,1630.34,17
Pune,"Hinjewadi, Pune, Pune West",48,3001.33,18
Nagpur,"Hingna Road, Nagpur",46,2213.67,19
Pune,"Kanhe, Talegaon Dabhade, Pune West",46,2461.83,20
Pune,"Nivaan Meadows",46,5945.93,21
Mumbai,"Virar West",44,27677.36,22
Mumbai,Chembur,43,19819.47,23
Mumbai,"Andheri West",41,28730.78,24
Pune,"Pharande Vaarivana",39,6817.77,25
Mumbai,"Vasai West",39,20937.79,26
Thane,"Dombivli East Beyond Thane",38,8067.42,27
Mumbai,"Kandivali West",38,12115.05,28
Bhiwandi,"Godrej Nirvaan",38,12676.08,29
Pune,"Panchshil Towers",37,15788.81,30
Thane,"Shahapur Beyond Thane",35,1390.03,31
Nagpur,"Beltarodi, Nagpur",35,3765.54,32
Jalgaon,Jalgaon,35,9364.77,33
Nagpur,"Umred Road, Nagpur",34,1892.24,34
Nagpur,"Isasani, Nagpur",34,2085.76,35
Nagpur,"Pewatha, Nagpur",33,1416.09,36
Nagpur,"Bhokara, Nagpur",33,2397.42,37
Nagpur,"Hudkeshwar Road, Nagpur",31,1740.23,38
Pune,"Kesnand, Pune, Pune East",31,2057.26,39
Solapur,Solapur,31,3539.19,40
Nagpur,"Pipla, Nagpur",31,3585.55,41
Nagpur,"Buti Bori, Nagpur",30,2023.33,42
Nagpur,"Wanadongri, Nagpur",30,2405.70,43
Pune,"Bhugaon, Bavdhan, Pune West",30,5188.77,44
Pune,"Royal Meadows",29,762.07,45
Nagpur,"orange City park",29,3143.21,46
Thane,"Murbad Beyond Thane",28,899.82,47
Nagpur,"Katol Road, Nagpur",28,1716.68,48
Pune,"Hinjewadi Phase 1, Hinjewadi Rajiv Gandhi Infotech Park, Pune West",28,4869.79,49
Mumbai,"Goregaon West",28,22960.79,50
Mumbai,"Andheri East",28,30884.75,51
Mumbai,"Borivali East",28,33445.64,52
Mumbai,"Malad West",28,58277.79,53
Nagpur,"Smc realty",27,4479.63,54
Pune,"Paranjape Forest Trails",27,9237.89,55
Nagpur,"n s ent",27,10085.52,56
Pune,"Bhor, Pune, Pune South",26,758.77,57
Mumbai,"Bhandup West",26,51996.46,58
Ratnagiri,"Chiplun, Ratnagiri",25,343.28,59
Nagpur,"KESAR GARDEN 3",25,2200.00,60
Nagpur,"Khapri, Nagpur",25,2782.12,61
Nagpur,"Zingabai Takli, Nagpur",25,5665.04,62
Mumbai,"Mulund West",25,20784.20,63
Pune,"Chakan, Pune, Pune North",24,1717.96,64
Nagpur,"Lava, Nagpur",24,2395.29,65
Pune,"Kumar Meadows",24,6392.38,66
Pune,"Clover Pinnacle Ridge",23,8077.52,67
Pune,"Geras Planet of Joy",23,21900.35,68
Mumbai,"Ghatkopar East",23,24890.35,69
Pune,"Uruli Kanchan, Pune, Pune East",22,1478.09,70
Thane,"Neral Beyond Thane",22,2467.27,71
Nagpur,"Koradi Road, Nagpur",22,2923.14,72
Akola,Akola,22,4355.55,73
Pune,"Shikrapur, Pune, Pune East",21,1156.05,74
Nagpur,"Besa Pipla Road, Nagpur",21,3730.95,75
Nagpur,"NS tower",21,4342.57,76
Mumbai,"Vikhroli East",21,20599.95,77
Mumbai,"Vasai East",21,38507.10,78
Pune,"Kasarsai, Pune, Pune North",20,1369.05,79
Sangli,Sangli,20,3576.75,80
Thane,"Ulhasnagar Beyond Thane",20,7791.40,81
Pune,"Nyati Serenity Enclave",20,9401.95,82
Ratnagiri,"Lanja, Ratnagiri",19,690.32,83
Nagpur,"Chinchbhavan, Nagpur",19,3187.58,84
Nagpur,"AK Manish Nagar",19,4777.63,85
Pune,"Nyati Windchimes",19,9046.05,86
Mumbai,Palghar,19,19362.63,87
Nashik,"Sinnar, Nashik",18,1775.94,88
Pune,"Krushnakunj phase 2 NA Plots.",18,1798.00,89
Nagpur,"Shiv rudra developer",18,2234.61,90
Nashik,"Igatpuri, Nashik",18,2632.39,91
Pune,"Dhanori, Pune, Pune East",18,6241.56,92
